"","Modelo1","Texto"
"11","neutro","puwoneniee | Santiago, 16 de agosto de 2018 | | | Sefior | Joaquin Cortez Huerta | Presidente Comision para el Mercado Financiero Presente VIA SEIL Ref.: COMPLEMENTA HECHO ESENCIAL De mi consideracién: De acuerdo a lo establecido en el articulo 9 y en el inciso segundo del articulo 10 de la Ley de Mercado de Valores, a lo dispuesto en la Norma de Cardacter General No. 30 de la Comision para el Mercado Financiero (la “CME”), y conforme a lo requerido mediante oficio No. 21186 de la CMF de fecha 14 de agosto de 2018, en que se solicita a Sociedad Quimica y Minera de Chile S.A., inscrita en el Registro de Valores con el numero 184 (la “Sociedad’”), complementar el hecho esencial comunicado con fecha 13 de agosto pasado, informo a usted lo siguiente: 1. Con fecha 13 de agosto de 2018, SQM Potasio S.A. (“SQM Potasio”) ha suscrito con la sociedad argentina Minera Exar S.A. (“Exar’’), GFL International Co. Ltd. (“Ganfeng”) y Lithium Americas Corp. (“LAC”), un contrato en idioma inglés | | denominado Transaction Agreement (el “Acuerdo’”’), en virtud del cual (a) SQM | Potasio vendera a Ganfeng la totalidad de su participacién accionaria y aportes irrevocables en Exar, sociedad que es titular del proyecto de litio Cauchari- Olaroz (el “Proyecto”)"
"12","neutro","i A ay Portuaria Cabo Froward S.A. (Sociedad Anénima Abierta) Valparaiso, 16 de agosto de 2018 Inscripcion Registro de Valores N° 514 Sefiores Comision para el Mercado Financiero Presente Ref.: HECHO ESENCIAL Sefir Presidente: Conforme a lo establecido en el articulo 9° e inciso segundo del articulo 10° de la Ley N°18.045, y a lo indicado en la Seccidn II, punto 2.2, de la Norma de Caracter General N°30 de esa Comisién, adjuntamos hecho esencial debidamente suscrito por el Gerente General, tal como fue facultado. Sin mas, les saluda muy atentamente, PORTUARIA i FROWARD S.A. ~ Juan Esteban Bilbao G. Gerente General cc. Bolsa de Comercio de Santiago, Bolsa de Valores, Santiago Bolsa Electronica de Chile, Bolsa de Valores, Santiago Bolsa de Corredores, Bolsa de Valores, Valparaiso Archivo  Z f= A  WZ Portuaria Cabo Froward S.A. (Sociedad Anénima Abierta) HECHO ESENCIAL  IDENTIFICACION DEL EMISOR:  _Inscripcién en el Registro de Valores N° [514 | CilU 810  RUT 96.723.320-K | Portuaria Cabo Froward S.A.  Domicilio Legal y Administrativo Urriola 87, piso 3  Teléfono 32) 2556390 : | Casilla 1060  Ciudad [Region SSC—~—SSCSCSCSC~‘iS | La presente comunicacion se hace en virtud de lo establecido en el articulo 9° e inciso segundo del articulo 10° de la Ley N° 18.045, que trata de un hecho esencial respecto de la sociedad, Sus negocios, sus valores de oferta publica o de la oferta de ellos, como asimismo, considerando la Seccion II, punto 2.2, de la Norma de Caracter General N° 30 de la Comision para el Mercado Financiero.  HECHO ESENCIAL  Por la presente informo que, segtin lo acordado en la ultima sesion de Directorio, el martes 14 de agosto de 2018 se ha dado aviso de término al contrato de Market Maker que la sociedad mantiene con BTG Pactual Chile S.A. Corredores de Bolsa, lo que regira a contar del 15 de septiembre de 2018.  Se T al [' para efectuar las comunicaciones pertinentes.  Juan Esteban Bilbao G. _S  Gerente General  Valparaiso, 16 de agosto de 2018"
"13","negativo","HECHO ESENCIAL Santiago, 2 de noviembre 2020 Señor Joaquín Cortez Presidente Consejo de la Comisión para el Mercado Financiero Presente Referencia: Hecho Esencial- Concesionaria Subterra Dos S.A. Inscripción N° 74 De mi consideración; Conforme a la normativa vigente, y en especial a los artículos 9 y 10 de la ley 18.045 de Mercado de Valores, y estando debidamente facultado para ello, comunico a la Comisión para el Mercado Financiero (“CMF”), los siguientes hechos, que esta sociedad ha calificado como esenciales, de los cual debe informar. Como ya es de conocimiento de la CMF, se ha reunido la totalidad de las acciones de Concesionaria Subterra Dos S.A. en Saba Estacionamientos de Chile S.A. por un plazo ininterrumpido de 10 días. En consecuencia, se ha producido la disolución de Concesionaria Subterra Dos S.A., de conformidad con el artículo 103 N° 2 de la Ley N° 18.046. El detalle de la información de dicha operación ha sido comunicado a la CMF mediante el proceso de inscripción en el Registro Especial de Entidades Informantes de la sociedad Saba Estacionamientos de Chile S.A. Sin otro particular, saluda atentamente a Ud."
"14","doble","LarrainVial   ACTIVOS Santiago, 16 de agosto de 2018 Senores Comision para el Mercado Financiero Presente HECHO ESENCIAL FONDO DE INVERSION LV-PATIO RENTA INMOBILIARIA | (“FONDO”) (Autorizado por resolucién N°325 del 10 de junio de 2011) Administrado por LARRAIN VIAL ACTIVOS S.A. ADMINISTRADORA GENERAL DE FONDOS De nuestra consideracion:  En cumplimiento de lo dispuesto en el articulo 9 y en el inciso segundo del articulo 10 de la Ley N° 18.045, y conforme a las normas informacion continua contenidas en la Norma de Caracter General N° 30 de esta Comision, comunicamos como hecho esencial que el Directorio de Larrain Vial Activos S.A. Administradora General de Fondos (la “Administradora”) en sesién celebrada el dia 16 de agosto de 2018, acordé distribuir dividendo Provisorio a los aportantes del Fondo, por la cantidad total de $847.519.020, con cargo a las utilidades del ejercicio 2018 del Fondo.  Por ultimo, acordé que el pago de los dividendos sefalados sera realizado a partir del dia 22 de agosto de 2018, en las oficinas de la Sociedad Administradora ubicadas en El Bosque Norte N° 01 77, piso 3, Las Condes, Santiago, de Lunes a Viernes de 9:00 a 18:00 horas, a los aportantes que se encuentren inscritos en el registro respectivo al 5° dia habil anterior a la fecha de pago, a prorrata del numero de cuotas de que sean titulares a esa fecha.  Sin otro particular, saluda mek usted,  Claudio Yafiez Fregonara Gerente General Larrain Vial Activos S.A. Administradora General de Fondos c.c.: Bolsa de Comercio de Santiago"
"15","doble","FALCOM Santiago, 16 de agosto de 2018  Sefior Joaquin Cortez Huerta Presidente Comision para el Mercado Financiero Presente Ref.: Informa HECHO ESENCIAL que indica del Fondo de Inversién Falcom Portfolio  Advisors Private Debt II. administrado por Falcom Administradora General de  Fondos S.A. De nuestra consideracién, Por medio de la presente, y en cumplimiento de lo dispuesto en el articulo 18 de la Ley N° 20.712 y en los articulos 9 y 10 inciso segundo de la Ley N° 18.045, comunicamos en cardcter de HECHO ESENCIAL lo siguiente: En Sesion Extraordinaria de Directorio de Falcom Administradora General de Fondos S.A., celebrada con fecha 13 de agosto de 2018, se acordé la distribucion de un dividendo provisorio del Fondo de Inversion Falcom Portfolio Advisors Private Debt II, con cargo a los resultados del ejercicio 2018, ascendente a 0.0269903 délares de los Estados Unidos de América por cada cuota suscrita y pagada en el Fondo. Este dividendo provisorio sera pagado al contado y en ddlares de los Estados Unidos de América, a contar del dia 28 de agosto de 2018, en las oficinas de la Administradora, ubicadas en Cerro El Plomo, N° 5.680, oficina 602, comuna de las Condes, Santiago, de lunes a viernes de 9:00 a 18:00 horas y tendra derecho a cobrarlo todo Aportante inscrito en el Registro de Aportantes a la medianoche del quinto dia habil anterior a la fecha en que se deba efectuar el pago. Sin otro particular, saluda atentamente a Usted,  _ — ox: —— Roberto Salas Silva Gerente General Falcom Administradora General de Fondos S.A  C0. Bolsa de Comercio de Santiago, Bolsa de Valores  Bolsa Electronica de Chile, Bolsa de Valores  Bolsa de Corredores, Bolsa de Valores"
"16","neutro","+ CLUB DE GOLF Y DEPORTES EL OLIVETO S.A.  Santiago, 16 de Agosto de 2018 Sefior Joaquin Cortés Comisi6n para el Mercado Financiero Av. Libertador Bernardo O’ Higgins 1449 PRESENTE  HECHO ESENCIAL CLUB DE GOLF Y DEPORTES EL OLIVETO S.A. De nuestra consideracion: En cumplimiento de lo dispuesto en articulo 9° y en el inciso 2° del articulo 10 de la Ley N°18.045, y conforme a las normas de informacion continua contenidas en la Norma de Caracter General N° 30 de esta Superintendencia, comunicamos a Ud. como hecho esencial de la sociedad Club de Golf y Deportes El Oliveto S.A., que con fecha 09 Agosto de 2018 se celebro Sesion Extraordinaria de Directorio de dicha sociedad en la cual se acord6 citar a Junta Extraordinaria de Accionistas a fin de someter a la consideracion de los accionistas la divisidn de la Sociedad, Junta que se llevara a cabo el proximo 29 de Agosto de 2018 a las 08:30 horas, en el domicilio de Camino El Oliveto 4178 ex 0426, comuna de Talagante. Puntos a tratar: 1) Someter a la consideracién de los accionistas la divisién de la Sociedad, dividiendo el objeto y el patrimonio social"
"17","neutro","DE LA REPUBLICA DE CHILE IV Ministerio del Interior y Seguridad Publica LICITACIONES, CONCURSOS, CITACIONES Y EXTRAViO DE DOCUMENTOS Num, 42.133 | Jueves 16 de Agosto de 2018 | Pagina | de 1 Avisos CVE 1446171 Compania de Inversiones La Espafiola S.A. Sociedad Anonima Abierta Inscripcién Registro de Valores N° 071 CITACION A HEREDEROS O LEGATARIOS Conforme a lo dispuesto en el articulo 18 de la Ley N° 18.046 Sobre Sociedades Anonimas y articulo 45 de su reglamento, se cita a los eventuales herederos 0 legatarios de los accionistas fallecidos que se indican a continuacion, que por mas de cinco afios a la fecha no han ejercido sus derechos. Lo anterior, a objeto de que concurran a la oficina de acciones de la Compajiia (ubicada en Calle Prat N° 887, piso 4°, teléfono 322256738 en Valparaiso) en dia habil desde las 09:30 a 13:30 o bien desde las 15:00 a 17:30 horas, a registrar las acciones a su nombre, acreditando su calidad de herederos 0 legatarios, segun corresponda, dentro del plazo de 60 dias contados desde la fecha de esta publicacion. Borda Arechavala, Seberina Ana Teresa"
"18","doble","e o BCI ie Bolsa Santiago, 14 de Agosto 2018 Sefior Joaquin Cortez Huerta Presidente comisi6n para el Mercado Financiero PRESENTE Ref.: HECHO ESENCIAL De mi consideraci6n: De acuerdo a la normativa vigente, comunicamos a esa comisi6n, el siguiente hecho esencial. Anuncio de Dividendo en Efectivo Lugar y Fecha: New York 14 de Agosto de 2018 Emisora: 3M CO (MMM) Hecho Esencial: La Compaijiia de referencia ha anunciado el siguiente pago de dividendo en efectivo: Fecha Ex-Date: 23 de Agosto de 2018 Fecha registro: 24 de Agosto de 2018 Fecha Pago: 12 de Septiembre de 2018 Ratio a pagar por accién: USD 1.36 (Importe bruto) Ratio a pagar por accién: USD 0.952 (Importe neto) Mercado del exterior. New York Puede accederse a informaci6én adicional de la Serie de referencia a través del siguiente link de BCI Corredor De Bolsa: https://www.bci.cl/inversiones/bci-corredor-de-bolsa#valores-extranjeros Sin otro particular, les saluda atentamente C.c.: Bolsa de Comercio de Santiago. C.c.: Bolsa Electronica de Chile. BCI Corredor de Bolsa S.A. Magdalena 140, piso 14, Santiago. Chile."
"19","neutro","SEGUROS . HECHO ESENCIAL MAPFRE COMPANIA DE SEGUROS GENERALES DE CHILE S.A. Santiago, 14 de agosto de 2018 Sefior Joaquin Cortez H. Presidente Comision para el Mercado Financiero Avenida Libertador Bernardo O ‘Higgins 1449, Santiago, Chile Presente Ref.: Informa Hecho Esencial. Seftor Presidente:  De conformidad con los articulos 9 y 10 de la Ley N°18.045 sobre Mercado de Valores, Norma de Caracter General N° 30, Circular N° 662 y 991 de la Comision para el Mercado Financiero (“CME”), y demas normativa aplicable"
"20","neutro","Concepcion, 14 de agosto de 2018 HECHO ESENCIAL Corporacién Universidad de Concepcion Inscripcion Registro de Valores N° 1113  Sefior Joaquin Cortez Huerta Presidente del Consejo Comisi6n Para El Mercado Financiero Presente  Ref.: Informa renovacién parcial  del Directorio de la Corporacién. De mi consideracién: Por medio de la presente, en representacion de la Corporacién Universidad de Concepcién (la “Corporacién”), estando debidamente facultado, y de conformidad con lo dispuesto por el articulo 9° e inciso segundo del articulo 10°, ambos de la Ley N° 18.045 sobre Mercado de Valores, me permito poner en vuestro conocimiento, en caracter de Hecho Esencial, lo siguiente: De conformidad con los articulos décimo cuarto y décimo quinto de los Estatutos de la Corporacién, fue realizada la Junta General de Socios de la Corporacién con fecha 10 de agosto del presente afio, en la que se acordé la renovacion parcial del Directorio de la Corporacién vigente a la fecha. Resultaron elegidos los siguientes miembros: German Acufia Game, Alberto Larrain Prat, Alvaro Ortiz Vera, y Hernan Saavedra Aguill6n, quienes iniciaran sus funciones el 11 de septiembre del 2018, en reemplazo de los siguientes miembros del Directorio: Sergio Arévalo Espinoza, Enrique Davila Alveal, Jaime Garcia Sandoval y José Miguel Ortiz. Asimismo, se acord6 reelegir en sus funciones y por un nuevo periodo al Director Mario Parada Araya. En atencién a lo anterior, el Directorio de la Corporacién estara integrado por los siguientes miembros: German Acufia Game, Hernan Ascui Izquierdo, Daniel Gonzalez Correa, Alberto Larrain Prat, Alfredo Meneses Olave, Alvaro Ortiz Vera, Mario Parada Araya, Jorge Israel Quilodran, Claudio Rocuant Castro, Hernan Saavedra Aguillén y Carlos Saavedra Rubilar (Rector y Presidente del Directorio). Sin otro particular, saluda atentamente a usted,  hn Mariano Campos Ramirez pp- Corporacién Universidad de Concepcion"
"21","neutro","por ti, aguas por nuestra aga anes ciudad se-~ , AGUAS MAGALLANES S.A. INSCRIPCION REGISTRO DE SOCIEDADES INFORMANTES NO 273 HECHO ESENCIAL Santiago, 14 de agosto de 2018 AMA/053-18 Sefior Joaquin Cortez Huerta Presidente Comisién para el Mercado Financiero Presente Muy sefior nuestro, En Junta Extraordinaria de Accionistas celebrada con esta fecha, se acord6 la eleccién de un nuevo Directorio, tanto en sus cargos Titulares como Suplentes, quedando éste integrado, para el periodo 2018 a 2021, por las siguientes personas: Director Titular Director Suplente Keisuke Sakuraba Kazutoshi Sugimoto Peter Niklai Takeshi Sekine Ikumori Osuka Alberto Eguiguren Seijiro Chiba Esta comunicaci6n se efectta en virtud de lo dispuesto en el Art. 9° inciso 2° y Art. 10 de la Ley 18.045 y Art. 63 de la Ley 18.046, y debidamente facultado, por tratarse de un hecho esencial de la Sociedad. i Lo saluda muy atentamente, } ff / / rf, | Hl Uy) / \ Salvador Villarino Krumin ~ ae . Gerente General Aguas Magallanes S.A. /\ SVKAIRL/GNS/cgo \ José Menéndez 839 . Punta Arenas / Chile www.aguasmagallanes.cl"
