"","text"
"11","puwoneniee santiago  agosto  sefior joaquin cortez huerta presidente comision   mercado financiero presente via seil ref complementa hecho esencial   consideracien  acuerdo   establecido   articulo    inciso segundo  articulo   ley  mercado  valores   dispuesto   norma  cardacter general    comision   mercado financiero  “ cme ”  conforme   requerido mediante oficio    cmf  fecha  agosto     solicita  sociedad quimica  minera  chile sa inscrita   registro  valores   numero  “ sociedad ’ ” complementar  hecho esencial comunicado  fecha  agosto pasado informo  usted  siguiente  fecha  agosto  sqm potasio sa “ sqm potasio ”  suscrito   sociedad argentina minera exar sa “ exar ’ ’ gfl international co ltd “ ganfeng ”  lithium americas corp “ lac ”  contrato  idioma ingle denominado transaction agreement  “ acuerdo ’ ” ’  virtud    sqm potasio vendera  ganfeng  totalidad   participacien accionaria  aportes irrevocables  exar sociedad   titular  proyecto  litio cauchari olaroz  “ proyecto ” "
"12","i  ay portuaria cabo froward sa sociedad anenima abierta valparaiso  agosto  inscripcion registro  valores n° sefiores comision   mercado financiero presente ref hecho esencial sefir presidente conforme   establecido   articulo °  inciso segundo  articulo °   ley n°    indicado   seccidn ii punto   norma  caracter general n°   comisien adjuntamos hecho esencial debidamente suscrito   gerente general tal   facultado    saluda  atentamente portuaria i froward sa juan esteban bilbao g gerente general cc bolsa  comercio  santiago bolsa  valores santiago bolsa electronica  chile bolsa  valores santiago bolsa  corredores bolsa  valores valparaiso archivo z f  wz portuaria cabo froward sa sociedad anenima abierta hecho esencial identificacion  emisor inscripcien   registro  valores n° cilu rut k portuaria cabo froward sa domicilio legal  administrativo urriola piso telefono casilla ciudad region ssc — — sscscscsc ‘ be  presente comunicacion  hace  virtud   establecido   articulo °  inciso segundo  articulo °   ley n°  trata   hecho esencial respecto   sociedad  negocios  valores  oferta publica    oferta    asimismo considerando  seccion ii punto   norma  caracter general n°   comision   mercado financiero hecho esencial   presente informo  segtin  acordado   ultima sesion  directorio  martes  agosto    dado aviso  termino  contrato  market maker   sociedad mantiene  btg pactual chile sa corredores  bolsa   regira  contar   septiembre   t   efectuar  comunicaciones pertinentes juan esteban bilbao g s gerente general valparaiso  agosto  "
"13","hecho esencial santiago  noviembre senor joaquin cortez presidente consejo   comision   mercado financiero presente referencia hecho esencial concesionaria subterra dos sa inscripcion n°   consideracion conforme   normativa vigente   especial   articulos    ley  mercado  valores   debidamente facultado  ello comunico   comision   mercado financiero “ cmf ”  siguientes hechos   sociedad  calificado  esenciales    debe informar  you   conocimiento   cmf   reunido  totalidad   acciones  concesionaria subterra dos sa  saba estacionamientos  chile sa   plazo ininterrumpido  dias  consecuencia   producido  disolucion  concesionaria subterra dos sa  conformidad   articulo n°   ley n°  detalle   informacion  dicha operacion   comunicado   cmf mediante  proceso  inscripcion   registro especial  entidades informantes   sociedad saba estacionamientos  chile sa   particular saluda atentamente  ud "
"14","larrainvial activos santiago  agosto  senores comision   mercado financiero presente hecho esencial fondo  inversion lvpatio renta inmobiliaria “ fondo ” autorizado  resolucien n°   junio  administrado  larrain vial activos sa administradora general  fondos   consideracion  cumplimiento   dispuesto   articulo    inciso segundo  articulo   ley n°  conforme   normas informacion continuum contenidas   norma  caracter general n°   comision comunicamos  hecho esencial   directorio  larrain vial activos sa administradora general  fondos  “ administradora ”  sesien celebrada  dia  agosto  acorde distribuir dividendo provisorio   aportantes  fondo   cantidad total   cargo   utilidades  ejercicio  fondo  ultimo acorde   pago   dividendos sefalados serum realizado  partir  dia  agosto    oficinas   sociedad administradora ubicadas   bosque norte n° piso  condes santiago  lunes  viernes   horas   aportantes   encuentren inscritos   registro respectivo  ° dia habil anterior   fecha  pago  prorrata  numero  cuotas    titulares   fecha   particular saluda mek usted claudio yafiez fregonara gerente general larrain vial activos sa administradora general  fondos cc bolsa  comercio  santiago "
"15","falcom santiago  agosto  sefior joaquin cortez huerta presidente comision   mercado financiero presente ref informa hecho esencial  indica  fondo  inversien falcom portfolio advisor private debt ii administrado  falcom administradora general  fondos sa   consideracien  medio   presente   cumplimiento   dispuesto   articulo   ley n°    articulos  inciso segundo   ley n° comunicamos  cardcter  hecho esencial  siguiente  sesion extraordinaria  directorio  falcom administradora general  fondos sa celebrada  fecha  agosto   acorde  distribucion   dividendo provisorio  fondo  inversion falcom portfolio advisor private debt ii  cargo   resultados  ejercicio ascendente  delares    unidos  america  cada cuota suscrita  pagada   fondo  dividendo provisorio serum pagado  contado   ddlares    unidos  america  contar  dia  agosto    oficinas   administradora ubicadas  cerro  plomo n° oficina comuna   condes santiago  lunes  viernes   horas  tendra derecho  cobrarlo  aportante inscrito   registro  aportantes   medianoche  quinto dia habil anterior   fecha    deba efectuar  pago   particular saluda atentamente  usted — ox — — roberto salas silva gerente general falcom administradora general  fondos sa c bolsa  comercio  santiago bolsa  valores bolsa electronica  chile bolsa  valores bolsa  corredores bolsa  valores "
"16","club  golf  deportes  oliveto sa santiago  agosto  sefior joaquin cortes comisin   mercado financiero av libertador bernardo  ’ higgins presente hecho esencial club  golf  deportes  oliveto sa   consideracion  cumplimiento   dispuesto  articulo °    inciso °  articulo   ley n°  conforme   normas  informacion continuum contenidas   norma  caracter general n°   superintendencia comunicamos  ud  hecho esencial   sociedad club  golf  deportes  oliveto sa   fecha agosto   celebro sesion extraordinaria  directorio  dicha sociedad     acord citar  junta extraordinaria  accionistas  fin  someter   consideracion   accionistas  divisidn   sociedad junta   llevara  cabo  proximo  agosto    horas   domicilio  camino  oliveto ex comuna  talagante puntos  tratar someter   consideracien   accionistas  divisien   sociedad dividiendo  objeto   patrimonio social "
"17","  republica  chile iv ministerio  interior  seguridad publica licitaciones concursos citaciones  extravio  documentos num jueves  agosto  pagina  avisos cve compania  inversiones  espafiola sa sociedad anonima abierta inscripcien registro  valores n° citacion  herederos  legatarios conforme   dispuesto   articulo   ley n°  sociedades anonimas  articulo   reglamento  cita   eventuales herederos legatarios   accionistas fallecidos   indican  continuacion     cinco afios   fecha   ejercido  derechos  anterior  objeto   concurran   oficina  acciones   compajiia ubicada  calle prat n° piso ° telefono  valparaiso  dia habil     bien    horas  registrar  acciones   nombre acreditando  calidad  herederos legatarios segun corresponda dentro  plazo  dias contados   fecha   publicacion borda arechavala seberina ana teresa "
"18","  bci ie bolsa santiago  agosto sefior joaquin cortez huerta presidente comisin   mercado financiero presente ref hecho esencial   consideracin  acuerdo   normativa vigente comunicamos   comisin  siguiente hecho esencial anuncio  dividendo  efectivo lugar  fecha new york  agosto  emisora be co mmm hecho esencial  compaijiia  referencia  anunciado  siguiente pago  dividendo  efectivo fecha exdate  agosto  fecha registro  agosto  fecha pago  septiembre  ratio  pagar  accien usd importe bruto ratio  pagar  accien usd importe neto mercado  exterior new york puede accederse  informacien adicional   serie  referencia  traves  siguiente link  bci corredor  bolsa httpswwwbciclinversionesbcicorredordebolsavaloresextranjeros   particular  saluda atentamente cc bolsa  comercio  santiago cc bolsa electronica  chile bci corredor  bolsa sa magdalena piso santiago chile "
"19","seguros hecho esencial mapfre compania  seguros generales  chile sa santiago  agosto  sefior joaquin cortez h presidente comision   mercado financiero avenida libertador bernardo  ‘ higgins santiago chile presente ref informa hecho esencial seftor presidente  conformidad   articulos    ley n°  mercado  valores norma  caracter general n° circular n°    comision   mercado financiero “ cme ”  demas normativa aplicable "
"20","concepcion  agosto  hecho esencial corporacien universidad  concepcion inscripcion registro  valores n° sefior joaquin cortez huerta presidente  consejo comisin   mercado financiero presente ref informa renovacien parcial  directorio   corporacien   consideracien  medio   presente  representacion   corporacien universidad  concepcien  “ corporacien ”  debidamente facultado   conformidad   dispuesto   articulo °  inciso segundo  articulo ° ambos   ley n°  mercado  valores  permito poner   conocimiento  caracter  hecho esencial  siguiente  conformidad   articulos decimo cuarto  decimo quinto   estatutos   corporacien  realizada  junta general  socios   corporacien  fecha  agosto  presente afio     acorde  renovacion parcial  directorio   corporacien vigente   fecha resultaron elegidos  siguientes miembros german acufia game alberto larrain prat alvaro ortiz vera  hernan saavedra aguilln  iniciaran  funciones   septiembre   reemplazo   siguientes miembros  directorio sergio arevalo espinoza enrique davila alveal jaime garcia sandoval  jose miguel ortiz asimismo  acord reelegir   funciones    nuevo periodo  director mario parada araya  atencien   anterior  directorio   corporacien estara integrado   siguientes miembros german acufia game hernan ascui izquierdo daniel gonzalez correa alberto larrain prat alfredo meneses olave alvaro ortiz vera mario parada araya jorge israel quilodran claudio rocuant castro hernan saavedra aguillen  carlos saavedra rubilar rector  presidente  directorio   particular saluda atentamente  usted hn mariano campos ramirez pp corporacien universidad  concepcion "
"21","  agua   aga anes ciudad  agua magallanes sa inscripcion registro  sociedades informantes  hecho esencial santiago  agosto  ama sefior joaquin cortez huerta presidente comisien   mercado financiero presente  sefior   junta extraordinaria  accionistas celebrada   fecha  acord  eleccien   nuevo directorio    cargo titulares  suplentes quedando  integrado   periodo    siguientes persona director titular director suplente keisuke sakuraba kazutoshi sugimoto peter niklai takeshi sekine ikumori osuka alberto eguiguren seijiro chiba  comunicacin  efectta  virtud   dispuesto   art ° inciso °  art   ley  art   ley  debidamente facultado  tratarse   hecho esencial   sociedad i  saluda  atentamente ff rf hl uy salvador villarino krumin ae gerente general agua magallanes sa svkairlgnscgo jose menendez punta arena chile wwwaguasmagallanescl "
"22","docusign envelope id ddeocebccbfoedbf slatam s santiago  octubre  sefior joaquin cortez huerta presidente  consejo comision   mercado financiero av libertador bernardo  ’ higgins piso presente ref hecho esencial latam airline group sa inscripcion registro  valores n°   consideracin  acuerdo   establecido   articulo °    inciso segundo  articulo °   ley n°    dispuesto   norma  caracter general n° debidamente facultado   directorio  sesion realizada   misma fecha informo   comision   mercado financiero  hecho esencial  latam airline group sa “ latam airline ”   “ compaifiia ”  siguiente ¢   informado latam airline comenz  proceso  reorganizacion    unidos  america  acuerdo   normas establecidas   capitulo  titulo  codigo    unidos  america presentando  solicitud voluntaria  amparo  acuerdo  mismo  “ procedimiento capitulo ”   parte   obligaciones  reporte    cumplir latam dentro  procedimiento capitulo  encuentra  preparacion  entrega   informe mensual denominado mor   siglas  ingle monthly operate report “ mor ”   virtud   anterior ponemos  disposicion   comision   mercado  general  mor correspondiente  mes  septiembre  emitido  fecha  hoy incluido   siguiente link httpswwwlatamreorganizacioncompublicaciones   mor  reemplaza  manera alguna  informacion financiera   compajftia entrega regularmente conforme   normas  valores  regulacion aplicable    preparado   fin exclusivo  dar cumplimiento   obligaciones bajo  procedimiento capitulo  consecuencia   perjuicio   demas limitaciones detalladas   mor hacemos presente   informacin contenida   reporte realizado exclusivamente  cumplir   obligaciones bajo  procedimiento  capitulo   encuentra auditada  docusign envelope id ddeocebccbfoedbf  alcance limitado  cubre  periodo restringido  tiempo     encuentra sujeta  cambios materiales  medida  avance  trimestre correspondiente  conforme   procesos regulares  preparacion   financieros trimestrales incluida  revision limitada   auditores externos  corresponda   particular  saluda atentamente docusigned by ramiro alforsiv ramird affonsin b vicepresidente finanzas latam airline group sa "
"23","oa n   quasnuevas ciudad s agua nuevas sa inscripcion registro  valores n° hecho esencial santiago  agosto   sefior joaquin cortez huerta presidente comision   mercado financiero presente  sefior   junta extraordinaria  accionistas celebrada   fecha  acorde  eleccien   nuevo directorio    cargo titulares  suplentes quedando  integrado   periodo    siguientes persona director titular director suplente keisuke sakuraba seijiro chiba peter niklai takeshi sekine tumori osuka alberto eguiguren  comunicacion  efecttia  virtud   dispuesto   art ° inciso °  art   ley  art   ley  debidamente facultado  tratarse   hecho esencial   sociedad  saluda  atentamente f fo fy ju amuo salvador villarino kru gerente general agua nuevas sa small sidora goyenechea piso  condes santiago chile wwwaguasnuevascl "
"24","per od oe phelan on ne pues seer us sn b po egen eason  yore ol as man vs snell us sh as enotaria sy yong of be santiago chile wariowy of snie ¥  ff asamblea extraordinaria  aportantes  fondo  inversion privado krc chile   santiago  chile   mayo    horas  jas oficinas  krc chile  sa ubicadas  av apoquindo piso  condes  celebre  asamblea extraordinarja  aportantes  fondo  inversion privado krc chile   adelante  fondo "
"25","servicios financieros hecho esencial tan servicios financieros sa inscripcion  registro  valores n° santiago  agosto  sefior joaquin cortez presidente comisien   mercado financiero avenida libertador bernardo  ’ higgins piso presente referencia comunica hecho esencial estimado sefior presidente  conformidad   articulo  inciso °  articulo   ley n°  mercado  valores  norma  caracter general n°   comisien bajo  presidencia   debidamente facultado  ello vengo  informar  hecho esencial   dia  hoy tan servicios financieros sa inscrita   registro  valores bajo  n° colocd bonos   mercado local   serie ab cddigo nemotecnico btannab  cargo   linea inscrita   registro  valores bajo  n°   suma  unidades  fomento dichos bonos  colocaron   plazo  afios  meses   tasa  caratula  anual   tir    spread  puntos basicos   colocacien  sociedad tan corredores  bolsa sa actud  agente colocador  saluda atentamente mario espinoza feliu fiscal tan servicios financieros sa cc representante   tenedores  bonos banco  chile bolsa  comercio  santiago "
"26","seguros clc co » filial clinica  condes santiago agosto sefiores comision   mercado financiero presente ref renuncia cargo director  conformidad   dispuesto   articulo   ley  mercado  valores   seccion il n° letra c   norma  caracter general n° cumplo  informar  ustedes   presentado  renuncia  cargo  director  seguros clc sa don pablo yarmuch fierro  contar   agosto    particular saluda atentamente  usted cecilia mufioz vrisco gerente gefheral seguros cc sa piso torre b  condes santiaco infosequrosclinicalascondescl wwwseguroscliccl "
"27","— — — s ser wont  arica sa patricio lynch n° fono fonofax hipodromodearicagmailcom arica arica lunes  agosto  afio senor joaquin cortez huerta presidente comision   mercado financiero santiago refcomunica hecho esencial hipodromo  arica sa   consideracien  cumplimiento   dispuesto   articulo °  inciso segundo  articulo   ley n°  mercado  valores  norma  caracter general n°   sv hoy  comisien   mercado financiero   presente oficio  debidamente facultada  ello comunico  usted  siguiente hecho esencial   sociedad  acuerdo   informado anteriormente   dia  hoy lunes  agosto  afio  realize  junta extraordinaria  accionistas citada   mismo dia  junta  constituye  conformidad   estatutos    dispuesto   ley contando   querum suficiente  relacien   legalmente exigido    presencia  sefior notario publico  arica don juan antonio retamal concha  anterior  cumplimiento   dispuesto   numeral  articulo   articulo   ley n° previa discusien   materia  tabla  junta sefialada aprobo  unanimidad  siguiente acuerdo l modificacion  plazo  duracien   sociedad articulo tercero  estatuto social relativo  plazo  duracien   sociedad renovando  vigencia  mejorando  redaccien quedando  consecuencia  articulo  sigue “ articulo °  duracien   sociedad  ampliada  afios lapso  tiempo  regird   dia  septiembre  aiio    dia  agosto  afio conforme  acuerdo aprobado  junta extraordinaria  accionistas  fecha  agosto  afio ”   particular  despido atentamepte cea sogo ses fe ay have fe fee by ald by i rtha canales mendez sy x gerente “ hipodromo  arica sa cc archivo "
"28","om hn  ke oe g  operador pfranco oo af “ bra ye division control financiero valores be rchivo we nn wo — valdivia  agosto  av seiior joaquin cortez presidente comision   mercado financiero av libertador bernardo  ’ higgins presente   consideracion  medio   presente   calidad  presidente   torreon sadp rut  adelante  “ sociedad ”   “ club deportes valdivia ” conforme   necesidad  contar  informacien actualizada   diversos cambios respecto   administracion  representacien   sociedad anonima deportiva profesional  presido vengo  comunicar  caracter  hecho esencial respecto   sociedad    negocios  siguiente ei directorio  “  torreen sadp ” tom conocimiento   renuncia   gerente general martin tupper  acordando designar   reemplazo   nuevo gerente general   sociedad  don mauricio cardenas fernandez cedula  identidad n° dicha designacion  reducida  escritura publica  fecha  junio    notaria  dofia carmen luz podlech michaud notario publico titular   comuna  valdivia reducida bajo  numero  repertorio cuya copia  acompajia   presentacion   particular  saluda atentamente — — — f — kl xq  ny jose gaitdarillas henriquez rut — — presidente  torreen sadp "
"29","cf § i i we f  “   hecho esencial compania cervecerias unidas sa inscripcion registro  valores  agosto  sefior joaquin cortez huerta presidente   comisin   mercado financiero avenida libertador bernardo  ’ higgins n° santiago presente   consideracien  cumplimiento   dispuesto   articulo °  inciso segundo  articulo °   ley n°    seccien ii n° literal    norma  caracter general n°   comision  encargo  directorio   especialmente facultado  ello informo  ud  siguiente hecho esencial respecto  compaiiia cervecerias unidas sa “ ccu ”  antecedentes  fecha  mayo  ccu ingres  mercado boliviano mediante  adquisicion   participacien     capital accionario  bebidas bolivianas bbo sa  adelante “ bbo ” sociedad dedicada   produccien comercializacien  venta multicategoria  bebidas alcohdlicas  analcohdlicas bajo marcas propias  licenciadas    plurinacional  bolivia dentro   cuales destacan mendocina malta real cerveza cordillera  heineken  igual fecha ccu suscribie  acuerdo  accionistas   grupo monasterio  adelante “ gm ” titular  restante   acciones  bbo   contempla  derecho  ccu  adquirir  traves   opcien  compra  participacion adicional  bbo   permita ser propietaria    acciones  dicha sociedad  adelante  “ opcidn ” b descripcion   transaccien  atencion   anterior   virtud   aprobado   unanimidad   directores  sesien celebrada  dia  abril  ccu comunice  gm mediante carta  fecha  agosto   voluntad  ejercer  opcien   cantidad necesaria  llegar  ser propietaria    acciones  bbo "
"30","nevasahmc santiago  agosto  sefior joaquin cortez huerta presidente comision   mercado financiero presente ref informa hecho esencial  indica  fondo  inversien nevasa hmc cip vi administrado  nevasa hmc sa administradora general  fondos   consideracion  medio   presente   cumplimiento   dispuesto   articulo   ley n°   articulos  inciso segundo   ley n° vengo  comunicar  usted  caracter  hecho esencial  siguiente  sesion extraordinaria  directorio  nevasa hmc sa administradora general  fondos celebrada  fecha  agosto   acordo  distribucion   dividendo provisorio  fondo  inversion nevasa hmc cip vi  cargo   resultados  ejercicio ascendente  dolares    unidos  america  cada cuota suscrita  pagada   fondo  dividendo provisorio serum pagado  contado   dolares    unidos  america  contar  dia  agosto    oficinas   administradora ubicadas  rosario norte n° piso comuna   condes santiago  lunes  viernes   horas  tendra derecho  cobrarlo  aportante inscrito   registro  aportantes   medianoche  quinto dia habil anterior   fecha    deba efectuar  pago  obstante  anterior  aportantes  asi  manifiesten  escrito dentro   cinco dias corridos siguientes contados  partir   fecha    notificados podran optar  recibir    parte   dividendos   corresponden mediante cuotas liberadas  pago  mismo fondo   efectos  valor cuota  fondo  utilizar   capitalizacion serum   dia inmediatamente anterior   fecha  pago  decir  valor cuota  dia  agosto    particular saluda atentamente  usted ricardo mogrovejo moron gerente general nevasa hmc sa administradora general  fondos cct bolsa  comercio  santiago bolsa  valores bolsa electrenica  chile bolsa  valores bolsa  corredores bolsa  valores "
